,submission_date,state,new_case,caseInterpolate_MA7,caseInterpolate_savitzky31_3,caseInterpolate_gauss8,caseInterpolate_gauss3
4436,2020-12-11,HI,79,86.71428571428571,2512.374617771636,105,106
33679,2020-12-12,HI,196,98.85714285714286,2500.7587034813914,107,111
467,2020-12-13,HI,77,96.0,2465.610704659222,109,115
37208,2020-12-14,HI,187,111.57142857142857,2462.9503273007317,110,118
32531,2020-12-15,HI,52,111.42857142857143,2463.5473510158777,112,120
36080,2020-12-16,HI,104,115.85714285714286,2492.682393712201,113,123
3049,2020-12-17,HI,136,118.71428571428571,2512.4996715667394,114,125
4235,2020-12-18,HI,122,124.85714285714286,2518.1764026365254,115,127
2675,2020-12-19,HI,152,118.57142857142857,2507.0581213617515,116,128
4172,2020-12-20,HI,202,136.42857142857142,2526.6419850959246,117,127
4675,2020-12-21,HI,132,128.57142857142858,2526.6079412897225,118,124
33124,2020-12-22,HI,64,130.28571428571428,2554.03209585721,119,119
1881,2020-12-23,HI,95,129.0,2570.515617567781,120,114
32275,2020-12-24,HI,125,127.42857142857143,2583.9511880223777,121,109
3421,2020-12-25,HI,119,127.0,2582.3725792203663,123,105
4513,2020-12-26,HI,109,120.85714285714286,2601.3878230537493,124,104
2705,2020-12-27,HI,94,105.42857142857143,2594.8801784864877,126,104
34434,2020-12-28,HI,45,93.0,2579.183832023374,127,108
33998,2020-12-29,HI,71,94.0,2622.0156515436356,129,114
36451,2020-12-30,HI,104,95.28571428571429,2661.992140252327,131,122
4463,2020-12-31,HI,175,102.42857142857143,2688.139527509116,134,129
32098,2021-01-01,HI,232,118.57142857142857,2685.5329679041424,136,136
4572,2021-01-02,HI,159,125.71428571428571,2682.1610228997256,138,141
602,2021-01-03,HI,122,129.71428571428572,2687.6714987881937,140,146
34126,2021-01-04,HI,75,134.0,2701.352442863937,141,152
33696,2021-01-05,HI,107,139.14285714285714,2707.231828580488,143,159
34875,2021-01-06,HI,125,142.14285714285714,2755.2120772837434,144,167
36733,2021-01-07,HI,287,158.14285714285714,2780.0432852386225,144,174
36273,2021-01-08,HI,239,159.14285714285714,2786.2414324220244,145,178
2089,2021-01-09,HI,228,169.0,2770.4650161951567,144,177
1577,2021-01-10,HI,178,177.0,2750.741307843891,144,172
5281,2021-01-11,HI,162,189.42857142857142,2722.089515051303,142,164
36973,2021-01-12,HI,108,189.57142857142858,2697.80771931414,141,154
35731,2021-01-13,HI,93,185.0,2676.6185191057543,139,146
2023,2021-01-14,HI,164,167.42857142857142,2640.4193526467184,137,138
2313,2021-01-15,HI,143,153.71428571428572,2598.286756211918,134,131
4490,2021-01-16,HI,156,143.42857142857142,2550.3351604792856,132,125
34641,2021-01-17,HI,121,135.28571428571428,2504.145054248114,129,119
32924,2021-01-18,HI,115,128.57142857142858,2465.192801648961,126,115
32540,2021-01-19,HI,59,121.57142857142857,2418.950531155858,123,111
37198,2021-01-20,HI,68,118.0,2365.6277605381774,120,110
1231,2021-01-21,HI,112,110.57142857142857,2294.1422682280454,118,111
2765,2021-01-22,HI,122,107.57142857142857,2212.887789077895,115,112
36333,2021-01-23,HI,165,108.85714285714286,2114.4569525923575,112,113
33346,2021-01-24,HI,143,112.0,2032.9834197830066,109,112
79,2021-01-25,HI,116,112.14285714285714,1967.2779677908895,107,110
3457,2021-01-26,HI,63,112.71428571428571,1923.5017554191481,104,107
34939,2021-01-27,HI,94,116.42857142857143,1862.641169675417,102,104
35135,2021-01-28,HI,94,113.85714285714286,1773.696482366531,99,101
5376,2021-01-29,HI,104,111.28571428571429,1685.6044757525647,96,98
36961,2021-01-30,HI,144,108.28571428571429,1576.1732315567733,94,95
35090,2021-01-31,HI,78,99.0,1502.0887902330737,91,93
37240,2021-02-01,HI,84,94.42857142857143,1429.8161226754848,89,90
33308,2021-02-02,HI,62,94.28571428571429,1385.121792113071,86,88
36736,2021-02-03,HI,68,90.57142857142857,1354.8840743844703,83,85
4200,2021-02-04,HI,101,91.57142857142857,1320.9395229790025,80,83
2212,2021-02-05,HI,91,89.71428571428571,1273.3598722507866,78,80
34309,2021-02-06,HI,133,88.14285714285714,1219.034542118734,75,77
1932,2021-02-07,HI,73,87.42857142857143,1160.7727015334433,72,72
3126,2021-02-08,HI,30,79.71428571428571,1119.7736075562298,70,67
1253,2021-02-09,HI,28,74.85714285714286,1090.764683231783,67,63
34267,2021-02-10,HI,51,72.42857142857143,1079.4003488187723,65,60
34593,2021-02-11,HI,84,70.0,1050.4940995266031,63,57
2454,2021-02-12,HI,61,65.71428571428571,997.0103060091958,61,54
35489,2021-02-13,HI,77,57.714285714285715,950.9863417064936,59,51
37004,2021-02-14,HI,43,53.42857142857143,912.5926521552016,57,48
4639,2021-02-15,HI,31,53.57142857142857,905.3791478855691,56,46
4778,2021-02-16,HI,16,51.857142857142854,852.9939296473303,55,44
5605,2021-02-17,HI,27,48.42857142857143,848.6413961811138,54,44
5074,2021-02-18,HI,60,45.0,840.1689959002467,53,45
3135,2021-02-19,HI,44,42.57142857142857,814.0452784887538,52,46
32756,2021-02-20,HI,61,40.285714285714285,779.2326893021358,52,48
36436,2021-02-21,HI,64,43.285714285714285,761.3755917461323,52,49
36878,2021-02-22,HI,49,45.857142857142854,758.7845251308069,51,50
34531,2021-02-23,HI,44,49.857142857142854,756.8230537498018,51,51
37421,2021-02-24,HI,43,52.142857142857146,776.0392307866541,52,52
3233,2021-02-25,HI,36,48.714285714285715,788.0290833314456,52,52
33375,2021-02-26,HI,39,48.0,772.7017825998322,52,53
37212,2021-02-27,HI,133,58.285714285714285,783.1120976692562,53,53
33842,2021-02-28,HI,54,56.857142857142854,752.7038211511018,53,52
36981,2021-03-01,HI,26,53.57142857142857,709.1963124872589,54,51
553,2021-03-02,HI,33,52.0,716.4693424539626,54,50
36650,2021-03-03,HI,17,48.285714285714285,736.1861650320504,55,50
2724,2021-03-04,HI,55,51.0,765.4856735146889,56,51
35226,2021-03-05,HI,51,52.714285714285715,764.6971392330515,57,53
2015,2021-03-06,HI,119,50.714285714285715,762.9749484699539,58,54
3551,2021-03-07,HI,47,49.714285714285715,773.9043013431786,60,56
35004,2021-03-08,HI,41,51.857142857142854,829.827515912025,61,57
35273,2021-03-09,HI,41,53.0,800.8995220729798,63,58
33514,2021-03-10,HI,41,56.42857142857143,841.5082561326416,64,60
2880,2021-03-11,HI,54,56.285714285714285,872.5627534032477,66,63
3660,2021-03-12,HI,64,58.142857142857146,921.6712722824977,68,65
36583,2021-03-13,HI,156,63.42857142857143,883.8164624340301,70,68
4620,2021-03-14,HI,50,63.857142857142854,935.3023171532762,72,70
2306,2021-03-15,HI,44,64.28571428571429,896.2612743210489,74,72
34527,2021-03-16,HI,45,64.85714285714286,923.4921289270424,76,74
32861,2021-03-17,HI,66,68.42857142857143,958.7117941516226,78,77
35651,2021-03-18,HI,86,73.0,984.9174613241522,80,80
37005,2021-03-19,HI,93,77.14285714285714,996.3817980022195,82,83
33726,2021-03-20,HI,161,77.85714285714286,1012.7772542979452,84,85
36513,2021-03-21,HI,71,80.85714285714286,990.6933792384876,87,86
34771,2021-03-22,HI,78,85.71428571428571,1067.593535527418,89,88
35840,2021-03-23,HI,38,84.71428571428571,1104.1764932388046,91,90
2274,2021-03-24,HI,55,83.14285714285714,1150.5095925162516,93,93
33606,2021-03-25,HI,115,87.28571428571429,1184.6474438832133,95,98
4087,2021-03-26,HI,117,90.71428571428571,1201.618111395501,96,102
1164,2021-03-27,HI,189,94.71428571428571,1212.0050963781734,98,105
36482,2021-03-28,HI,102,99.14285714285714,1261.524813699064,99,107
4421,2021-03-29,HI,80,99.42857142857143,1240.800561734127,100,109
4877,2021-03-30,HI,81,105.57142857142857,1267.405399895807,101,110
32279,2021-03-31,HI,90,110.57142857142857,1301.3868037781147,102,112
33921,2021-04-01,HI,109,109.71428571428571,1320.5869442116464,103,113
1122,2021-04-02,HI,129,111.42857142857143,1326.41253482525,103,114
3987,2021-04-03,HI,229,117.14285714285714,1327.3503816620982,103,113
1972,2021-04-04,HI,92,115.71428571428571,1333.7802668237105,103,111
2777,2021-04-05,HI,89,117.0,1338.6072164714938,103,107
2870,2021-04-06,HI,52,112.85714285714286,1350.9553104260565,102,104
1386,2021-04-07,HI,73,110.42857142857143,1331.091327096876,102,102
1248,2021-04-08,HI,121,112.14285714285714,1365.1548392942077,101,101
35830,2021-04-09,HI,81,105.28571428571429,1352.3209812226773,100,101
5566,2021-04-10,HI,202,101.42857142857143,1338.1647149425803,99,99
36352,2021-04-11,HI,89,101.0,1321.672246256993,98,98
725,2021-04-12,HI,68,98.0,1311.4730797979566,97,95
381,2021-04-13,HI,62,99.42857142857143,1305.9971460282222,97,94
1699,2021-04-14,HI,67,98.57142857142857,1300.2791682710817,96,93
